,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
192,334,0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12.0,Bomb Beer Company,New York,NY,northeast
193,335,0.066,72.0,2422,Firestarter India Pale Ale,American IPA,107,12.0,Bonfire Brewing Company,Eagle,CO,west
194,336,0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16.0,Bonfire Brewing Company,Eagle,CO,west
195,337,0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,107,16.0,Bonfire Brewing Company,Eagle,CO,west
196,338,0.056,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,107,12.0,Bonfire Brewing Company,Eagle,CO,west
197,339,0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16.0,Bonfire Brewing Company,Eagle,CO,west
198,344,0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12.0,Bonfire Brewing Company,Eagle,CO,west
199,346,0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),107,12.0,Bonfire Brewing Company,Eagle,CO,west
200,354,0.071,16.0,2062,Noche Dulce,American Porter,231,16.0,Borderlands Brewing Company,Tucson,AZ,west
201,355,0.045,8.0,1830,Porch Rocker,Radler,300,12.0,Boston Beer Company,Boston,MA,northeast
202,356,0.065,45.0,1629,Rebel IPA,American IPA,300,16.0,Boston Beer Company,Boston,MA,northeast
203,359,0.049,30.0,1349,Boston Lager,Vienna Lager,300,16.0,Boston Beer Company,Boston,MA,northeast
204,361,0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12.0,Boston Beer Company,Boston,MA,northeast
205,362,0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12.0,Boston Beer Company,Boston,MA,northeast
206,364,0.049,35.0,1395,Hazed & Infused,American Pale Ale (APA),417,12.0,Boulder Beer Company,Boulder,CO,west
207,365,0.057,35.0,808,Hoopla Pale Ale,American Pale Ale (APA),417,12.0,Boulder Beer Company,Boulder,CO,west
208,366,0.049,35.0,81,Hazed & Infused (2010),American Pale Ale (APA),417,12.0,Boulder Beer Company,Boulder,CO,west
209,367,0.062,80.0,2596,Heavy Lifting,American IPA,31,12.0,Boulevard Brewing Company,Kansas City,MO,midwest
210,371,0.06,52.0,2107,Plum St. Porter,American Porter,219,12.0,Bozeman Brewing Company,Bozeman,MT,west
211,373,0.07,80.0,1289,Bozone HopZone IPA,American IPA,219,12.0,Bozeman Brewing Company,Bozeman,MT,west
212,374,0.06,25.0,1288,Bozone Hefe Weizen,Hefeweizen,219,12.0,Bozeman Brewing Company,Bozeman,MT,west
213,376,0.052000000000000005,40.0,2167,Evil Owl,American Amber / Red Ale,207,12.0,Branchline Brewing Company,San Antonio,TX,south
214,378,0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,391,12.0,Breckenridge Brewery,Denver,CO,west
215,379,0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,391,12.0,Breckenridge Brewery,Denver,CO,west
216,380,0.062,68.0,193,Lucky U IPA,American IPA,391,12.0,Breckenridge Brewery,Denver,CO,west
